id,brand,model,price_total,price_vehicle,year,mileage,displacement,transmission,prefecture,category,link,crawl_date,year_ce,mileage_wan_km,displacement_cc,vehicle_class,brand_clean,brand_origin
1045,レクサス,UX 300h バージョンC 純正12.3型ナビ 3眼LED 茶革シート レーダークルーズ パワーシート シートヒーター ステアリングヒーター アダプティブハイビーム 衝突軽減ブレーキ スマホ連携 フルセグTV ETC2.0,413.8,406.7,"2024
(R06)","0.8
万km",2000CC,MT,Hiroshima,混合动力,/usedcar/detail/AU7046888087/index.html,2026-06-21,2024,0.8,2000.0,Mid-size (1501-2000cc),Lexus,Domestic
1046,トヨタ,C-HR ハイブリッド 1.8 G 雹害 禁煙 純正ナビ 衝突軽減 バックカメラ ドライブレコーダー スマートキー LEDヘッド ETC 純正18インチアルミ オートライト オートエアコン,162.9,145.6,"2019
(R01)","3.3
万km",1800CC,CVT,Miyazaki,混合动力,/usedcar/detail/AU6922886878/index.html,2026-06-21,2019,3.3,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1047,日産,ノート 1.2 X 禁煙車 SDナビ バックカメラ 衝突被害軽減システム ドラレコ コーナーセンサー LEDヘッド ビルトインETC 純正16インチアルミ オートライト オートエアコン Bluetooth,174.9,158.6,"2024
(R06)","1.4
万km",1200CC,AT,Mie,混合动力,/usedcar/detail/AU7050875617/index.html,2026-06-21,2024,1.4,1200.0,Compact (<=1500cc),Nissan,Domestic
1048,日産,セレナ 1.2 e-POWER ハイウェイスター V 禁煙 セーフティパックA 両側電動ドア 純正9型ナビ 全周囲カメラ ステアリングヒーター シートヒーター ドラレコ クリアランスソナー スマートキー LEDヘッド クルコン 純正15インチアルミ オートライト ETC,142.9,125.3,"2018
(H30)","8.1
万km",1200CC,AT,Chiba,混合动力,/usedcar/detail/AU6914840319/index.html,2026-06-21,2018,8.1,1200.0,Compact (<=1500cc),Nissan,Domestic
1049,トヨタ,ヴィッツ 1.5 ハイブリッド F メモリーナビ/バックカメラ/Bluetooth/オートエアコン/プリクラッシュセーフティ/レーンキープアシスト/キーレスキー/ウィンカードアミラー/ETC,104.8,89.9,"2019
(R01)","5.8
万km",1500CC,CVT,Hyogo,混合动力,/usedcar/detail/AU6936065817/index.html,2026-06-21,2019,5.8,1500.0,Compact (<=1500cc),Toyota,Domestic
1050,スズキ,ソリオ 1.2 ハイブリッド MZ デュアルカメラブレーキサポート装着車 両側電動ドア 純正SDナビ 全周囲カメラ 衝突被害軽減システム レーダークルーズ 禁煙車 シートヒーター ドラレコ スマートキー HIDヘッド 純正15インチアルミ オートハイビーム 車線逸脱警報,71.9,60.2,"2015
(H27)","6.2
万km",1200CC,CVT,Ishikawa,混合动力,/usedcar/detail/AU6895221693/index.html,2026-06-21,2015,6.2,1200.0,Compact (<=1500cc),Suzuki,Domestic
1051,日産,セレナ 1.2 e-POWER ハイウェイスター V 衝突軽減 プロパイロット ナビ 全周囲カメラ 後席モニター 両側電動スライド LEDヘッド Bluetooth接続 ドラレコ ETC CD/DVD再生 オートエアコン オートライト スマートキー,157.9,145.1,"2019
(H31)","8.3
万km",1200CC,AT,Niigata,混合动力,/usedcar/detail/AU7065998338/index.html,2026-06-21,2019,8.3,1200.0,Compact (<=1500cc),Nissan,Domestic
1052,トヨタ,ヴォクシー 1.8 ハイブリッド V 禁煙車 純正9型ナビ バックカメラ フルセグ 両側電動ドア クルコン コーナーセンサー シートヒーター LEDライト,116.9,103.6,"2015
(H27)","12.8
万km",1800CC,CVT,Chiba,混合动力,/usedcar/detail/AU7020620556/index.html,2026-06-21,2015,12.8,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1053,トヨタ,ヤリス 1.5 ハイブリッド X E-Four 4WD 純正ナビ,169.9,154.6,"2021
(R03)","4.3
万km",1500CC,CVT,Hokkaido,混合动力,/usedcar/detail/AU7036964359/index.html,2026-06-21,2021,4.3,1500.0,Compact (<=1500cc),Toyota,Domestic
1054,トヨタ,プリウス 1.8 S ツーリングセレクション 純正9インチナビ/レーダークルーズコントロール/バックカメラ/デジタルミラー/ビルトインETC/ドライブレコーダー/レザーシート/衝突軽減ブレーキ/前後コーナーセンサー/前席シートヒーター/スペアキー,169.8,162.4,"2019
(H31)","8.2
万km",1800CC,CVT,Hiroshima,混合动力,/usedcar/detail/AU7075607880/index.html,2026-06-21,2019,8.2,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
